QID,Wikipedia_Title
Q45917,Muhammad Hussein Tantawy
Q371909,Prefect
Q24861,"Albany, New York"
Q995093,FK RFS
Q23011261,Mercedes Vila
Q376296,Viktor Goncharenko
Q812738,Nejmeh SC
Q1584987,Congress of the New Right
Q963421,Carl-Henric Svanberg
Q1874,Odesa
Q2055491,Tomas Ražanauskas
Q3965299,Under Secretary of State for Public Diplomacy and Public Affairs
Q3578449,Paris School of Business
Q2006192,No Pokies
Q455291,Ståle Solbakken
Q1715598,Jörgen Lennartsson
Q1206671,National Society of Film Critics
Q384850,NK Domžale
Q2093921,FK Spartaks Jūrmala
Q1421829,Instituto Atlético Central Córdoba
Q15294742,Rossiya Segodnya
Q2496680,Nikolay Kostov
Q2013835,Octavian Grigore
Q7178777,Petri Vuorinen
Q1988077,Marcelo Oliveira
Q216857,NSÍ Runavík
Q6827147,Mia Mottley
Q1123379,Károli Gáspár University of the Reformed Church in Hungary
Q5501621,Fremont Senior High School (Nebraska)
Q7912536,Valor Christian High School
Q223522,Kansas City Chiefs
Q3001534,Courtney Vandersloot
Q5176750,President of Brazil
Q136398,ZSC Lions
Q59820303,"Freedom, Unity and Solidarity Party"
Q573195,Roberto D'Aversa
Q7495002,Sheriff of the City of London
Q17102488,Alexander L. Wolf
Q16149172,Alex Albon
Q86012,Neno Ašćerić
Q723458,Pako Ayestarán
Q59574,50PLUS
Q16194857,Mark Warburton
Q137317,Funke Mediengruppe
Q3027123,Didier Migaud
Q44138876,Ann Vanstone
Q5314505,Duncan McFetridge
Q56862498,Daniel Attinger
Q611560,Nikola Mirotić
Q361134,Marcus Camby
Q50349730,María Teresa Sosa
Q1423118,Göztepe S.K.
Q309400,US Boulogne
Q980189,Massimo Carrera
Q79428181,Party of Ivan Pernar
Q23556,Atlanta
Q22850,Eva Lohse
Q1026926,"California State University, Long Beach"
Q210453,Thiago Silva
Q11604169,Ryuichi Yoneyama
Q38772865,Axel Kjäll
Q214940,Estudiantes de La Plata
Q1555334,Reservist Association of Deutsche Bundeswehr
Q750292,Ruter
Q1524487,Takanori Nunobe
Q12377820,Urmas Sutrop
Q1032587,Ernest Maragall
Q8077915,Échevin (Luxembourg)
Q463095,Volodymyr Lytvyn
Q27062776,Mirjam van Praag
Q1853534,List of lieutenant governors of Montana
Q1911,Olivier Giroud
Q939899,Meir Sheetrit
Q7118447,PBS News Hour
Q208652,Dallas Stars
Q75060241,Obi Toppin
Q2255212,Sweden men's national under-19 football team
Q9673,Lewis Hamilton
Q6361668,Kandurata cricket team
Q23014672,New Right (Denmark)
Q98108428,Melissa Hough
Q134925,Greece national football team
Q1473868,Fulvio Conti
Q2021513,Rassie Erasmus
Q19900,Oracle Corporation
Q16969843,Long Beach State Beach men's basketball
Q58561816,Rosewood Hotel Group
Q62752685,Matt Mooney
Q296036,Manuel Pellegrini
Q869,Thailand
Q1128321,Constitution Party (United States)
Q1485650,Magnus Haglund
Q944674,Teófila Martínez
Q208406,MTK Budapest FC
Q17986374,Chaplain to the Speaker of the House of Commons
Q1317143,University of Louisville
Q1700481,Minneapolis Institute of Art
Q3387740,Pierre de Villiers
Q17336477,Ion Ceban
Q461213,Dirk Baert
Q18052736,Dogan Corneille
Q757104,FK Sūduva
Q176371,PFC CSKA Moscow
Q1746945,Wind River Systems
Q12717119,Norwegian Digital Learning Arena
Q202553,Than Shwe
Q14946896,Hazel Poa
Q55625920,CS Academica Recea
Q806215,Santander Group
Q6866422,Minister of Western Economic Diversification
Q1353173,Stefano Colantuono
Q3901140,Petter Belsvik
Q24702994,Branko Žigić
Q6597968,Speaker of the Parliament of Singapore
Q164630,John E. Potter
Q364303,Jim Prentice
Q136816,Andre Iguodala
Q27734885,Andrew McCabe
Q83750,Desigual
Q7050535,Nord Anglia Education
Q272201,Liz Truss
Q132418,Northern Cape
Q1153087,Inter-American Development Bank
Q1780202,European Commissioner for Budget and Administration
Q47391604,Progressive Area
Q57413,Alassane Ouattara
Q214374,Lillestrøm SK
Q3642950,Boston Ballet
Q6233,Visma–Lease a Bike (men's team)
Q58032887,Carolyn Lawrence-Dill
Q65512542,Carsen Stringer
Q244874,Sligo Rovers F.C.
Q42775804,Elisabeth Bik
Q13605936,James Ennis III
Q38803673,Philip A. Gale
Q60789658,Ramal de Aveiro
Q2506685,Speaker of the House of Commons (Canada)
Q18300,Nantwich Town F.C.
Q2430415,Prime Minister of Turkey
Q5396105,Erwin Chemerinsky
Q322642,Oleksiy Mykhaylychenko
Q148554,National Museum of Natural History
Q1210069,General manager
Q19604,Portsmouth F.C.
Q1599,Nagaland
Q38568,São Paulo FC
Q24879,Bremen
Q5424871,AFC Chindia Târgoviște
Q310875,Kim Yong-il
Q14799,Lenovo
Q168029,Roman Pavlyuchenko
Q5333434,Economic and Social Research Council
Q16158033,Touko Aalto
Q27654948,Abdalla Hamdok
Q29617945,Allisha Gray
Q5461290,Florida Commissioner of Agriculture
Q527063,Asqar Mamin
Q498348,Jimmy Butler
Q222789,Luis Enrique
Q4707086,Alan Koch (soccer)
Q188241,Ricardo Quaresma
Q5919327,Howard College
Q531814,Kaká
Q193753,Indianapolis Colts
Q10308,Real Zaragoza
Q119988,Jürgen Hartmann
Q11870020,Kari Virtanen
Q269697,Liam Byrne
Q240563,ASA 2013 Târgu Mureș
Q190142,Gilberto Silva
Q4775602,Antoinette Sandbach
Q3235400,Paco Herrera
Q705316,IESE Business School
Q3624912,Aleksandr Grishin
Q58494502,Simon Rožman
Q915792,Linha do Douro
Q1275560,Alain Portes
Q11739162,Kyiv City State Administration
Q2079296,Will Buckley (footballer)
Q653483,"Linacre College, Oxford"
Q1024426,University of South Carolina
Q2712407,Ajla Tomljanović
Q14039842,Meritxell Budó
Q2422811,Chelsea F.C. Women
Q333663,David Laws
Q686659,WSG Tirol
Q1075126,Freer Gallery of Art
Q11794974,Minister of Higher Education (South Africa)
Q3972490,Stefano Fassina
Q1671357,United States women's national under-20 soccer team
Q5691497,Heanor Town F.C.
Q59682219,Nadine Provençal
Q49260,Norwegian Association for Women's Rights
Q1636019,Alanyaspor
Q7998162,Wichita State Shockers men's basketball
Q6473425,Lahore cricket teams
Q310369,Freddy Adu
Q16844935,Miami United FC
Q49476,Archbishop
Q170558,Minnesota Timberwolves
Q2387238,President of the Pontifical Commission for Vatican City State
Q16205662,Nina Revoyr
Q16874648,Minister of Rural Development (India)
Q7987859,Western Australia women's cricket team
Q467641,Mary Hanafin
Q16215208,Shawn Christian (mayor)
Q638431,Kiyoshi Ueda
Q1718,Düsseldorf
Q2394731,Anagennisi Deryneia FC
Q2134369,FC Lida
Q16321326,Reality Labs
Q334526,United States women's national soccer team
Q16733283,Cameron Newbauer
Q12309901,Elvin J. Hansen
Q428110,Chairman of the National Assembly of Vietnam
Q2829824,Alain Fuchs
Q5324104,ESADE Business School
Q20055523,Pat Nuttall
Q8684,Seoul
Q118498,Racing 92
Q657282,Paavo Arhinmäki
Q50874765,Kostas Antetokounmpo
Q425940,Steve Ralston
Q203184,First lady
Q205150,National Rally
Q3567798,Vancouver Whitecaps FC (women)
Q12083216,Andriy Bohdan
Q3112657,Javier López (baseball)
Q1053299,CRH plc
Q235910,United Arab Emirates national football team
Q645165,Carlo Giovanardi
Q19684454,Minkuotang
Q19912790,Burisma
Q57431,Tomislav Nikolić
Q161038,Neven Subotić
Q19666344,Cathy Engelbert
Q86853,Linden Lab
Q2961236,Charterhouse Capital Partners
Q15999956,Michael Rake
Q7453739,Sergei Popkov
Q6181472,Jeremy Heywood
Q1089097,Chuck Blazer
Q4679029,Adam Falk
Q316995,Lomana LuaLua
Q257330,Ralf Loose
Q169327,Al Ansar FC
Q8440,Hugo Chávez
Q16221710,Aja Brown
Q22279173,Melania Cristescu
Q2041933,Chester F.C.
Q4824612,Australian Research Council
Q144488,University of Warsaw
Q16234657,Eric Jagielo
Q2914027,Business and Professionals Alliance for Hong Kong
Q1753754,Master of the Rolls
Q3936962,Rónald González (Costa Rican footballer)
Q276544,Igor Tudor
Q768461,Anatoliy Yurevich
Q1330190,Rúnar Kristinsson
Q150068,Republican Left of Catalonia
Q2011456,Gaku Shibasaki
Q391680,Douglas Costa
Q128905,Kenneth Vermeer
Q202317,Volga Federal District
Q3999679,Trond Fredriksen
Q642433,Chivas USA
Q1711532,Juha Sipilä
Q297768,Vincenzo Montella
Q6915896,Moses Nagamootoo
Q314670,Simone Inzaghi
Q18685229,Rachel Carling-Jenkins
Q14229572,Jong FC Twente
Q52942,Lech Poznań
Q58113,Kostyantyn Gryshchenko
Q357901,Dennis van Wijk
Q57647,Yoshihiko Noda
Q4672520,Access Now
Q803873,Bain Capital
Q1207375,Jacoby Ellsbury
Q244631,Leon Panetta
Q16826821,Alan Turing Institute
Q352123,Gary Johnson
Q5880804,Glenda Rondán
Q723682,Dean (education)
Q4044680,MyAnimeList
Q1781094,University of Northern Iowa
Q16239349,Scott Cooper (football manager)
Q16147127,Leader of the House (Australia)
Q692646,Club Atlético Banfield
Q28549362,Leïla Chaibi
Q1855840,Xavier Becerra
Q383273,Austrian Science Fund
Q4493503,Denison University
Q10819,Mariano Rajoy
Q1347982,Nikos Nioplias
Q18590052,Stefano Bonaccini
Q197543,Zhejiang University
Q288801,Petr Rada
Q1127387,Conservatoire national supérieur d'art dramatique
Q6865883,Minister for Industry and Science
Q163347,Isamaa
Q6664,AC Cesena
Q107365,Manuel Neuer
Q27302,German National Library
Q286504,Zamalek SC
Q605304,Nicky Hayen
Q311329,Peter Odemwingie
Q4172923,Robert Yevdokimov
Q650829,Toronto Blue Jays
Q600751,Prosecutor
Q3126,Erlangen
Q35997,İzmir
Q911372,Jan Björklund
Q656801,International Finance Corporation
Q43304,Marcello Lippi
Q28911622,Lyda Krewson
Q7364772,Ronald Crutcher
Q382314,James Franklin Jeffrey
Q105112,Swedish Social Democratic Party
Q25223,President of Germany
Q71674,Elmar Brok
Q3624200,Božidar Delić
Q22951255,Marcus Rashford
Q4220629,Igor Kim
Q55287325,Lin Ying-meng
Q7240354,Premier of Mpumalanga
Q756144,Atlanta Beat (WPS)
Q540384,FC Bayern Munich (women)
Q595564,Houston Chronicle
Q370838,Walter Mazzarri
Q733831,Ronan O'Gara
Q3894541,Paolo Tramezzani
Q6867517,Ministry of Rural Development (India)
Q2032906,Ihor Petrov
Q3573532,Yves Bréchet
Q6933490,Mukhriz Mahathir
Q954307,"Diego López (footballer, born August 1974)"
Q878254,President of Suriname
Q10557817,Giannis Vonortas
Q6508572,Leader of the Opposition (Western Australia)
Q3500813,Stanko Mršić
Q404268,Craig Bryson
Q186047,Valparaiso University
Q3624592,Arturo Scotto
Q42956059,Advance SA
Q26393510,Olga Vasilieva (politician)
Q179995,Claudio Marchisio
Q249643,L.D.U. Quito
Q5419615,Exchequer Secretary to the Treasury
Q142539,Dropbox
Q21263411,Johanna Ivaska
Q1721,Wiesbaden
Q554381,Clinton Morrison
Q10304982,Jair Bolsonaro
Q3779935,Gustavo Bou
Q1559391,Reiner Hollich
Q1572591,René Obermann
Q316865,SC Preußen Münster
Q18613055,Dennis Gyllensporre
Q57607026,Samer Hassan
Q2600663,"Cuca (footballer, born 1963)"
Q12269600,Shirin Sharmin Chaudhury
Q19817635,Denis Voronenkov
Q6865816,Minister for Education (Ireland)
Q334628,Gary Caldwell
Q172720,Dani Alves
Q182740,Serbia national football team
Q18783423,Agenda (think tank)
Q244317,FC Pyunik
Q13858295,Tatiana Turanskaya
Q456840,Georgi Ivanov (cosmonaut)
Q19354694,Valentyn Reznichenko
Q35794,University of Cambridge
Q16499757,Jill R. Horwitz
Q140686,Chair (officer)
Q59284514,Alessandro Vieira
Q488659,"Montgomery County, Maryland"
Q5020399,California Democratic Party
Q310889,Choe Yong-rim
Q273681,Julie Fleeting
Q472649,Ricky Ponting
Q437925,Mick McCarthy
Q15031115,Kadokawa Future Publishing
Q26069,Klaas-Jan Huntelaar
Q960473,Maurice Godelier
Q2496080,Country Liberal Party
Q486156,University of Oslo
Q170703,Boca Juniors
Q19544240,Fernando Da Cruz
Q3571335,Yahya Ould Hademine
Q2660834,Harm van Veldhoven
Q1236571,Wayne Swan
Q61938,Hannelore Kraft
Q551188,Rocco Buttiglione
Q41533,Frank Lampard
Q587370,Democratic Movement (France)
Q568692,State University of Music and Performing Arts Stuttgart
Q5131553,Clemson Tigers football
Q75010151,Mary Kershaw
Q69361,Stefan Mappus
Q375606,"Birkbeck, University of London"
Q7461686,Shahid Khaqan Abbasi
Q332954,Caroline Spelman
Q5203294,D-Wave Systems
Q35572,UEFA
Q312382,Barry Ferguson
Q871892,Péter Cseresnyés
Q6409269,Kim Reynolds
Q4963985,Brian Hayes (politician)
Q12877513,Zoe Konstantopoulou
Q196695,Green League
Q3380687,Philippe Saint-André
Q3609945,Alessandro Cosimi
Q267972,Antigua and Barbuda national football team
Q10596751,Junichi Hamada
Q9148894,Alojzy Nowak
Q241331,50Hertz Transmission GmbH
Q5338342,Edis Mulalić
Q24053,Maggie Hassan
Q467164,American University of Armenia
Q6273264,Jonathan Greenblatt
Q848103,Milwaukee Brewers
Q430107,Samsunspor
Q34426,Abdullah Ensour
Q7711,Jean-Marc Ayrault
Q54801,LMP – Hungary's Green Party
Q310610,Eiji Kawashima
Q2032119,Roberto De Zerbi
Q170235,Dimitar Berbatov
Q5289672,Dolphins (South African cricket team)
Q21791478,Claude Debru
Q4316115,Andrey Nedorezov
Q1115018,TelQuel
Q48851,AFC Wimbledon
Q1775207,Amedia
Q117876,Pepperdine University
Q1665109,Institut national de l'audiovisuel
Q38778615,Roundtable (Hong Kong)
Q48312803,Thomas Hutzschenreuter
Q10341050,Onyx Lorenzoni
Q3873525,Denmark national under-19 football team
Q731523,Michał Kamiński
Q3917441,Vadim Skripchenko
Q1208454,Zack Greinke
Q5751139,Hickory Daily Record
Q77339485,Lauren McLean
Q2421201,Brian Jean
Q556712,Aksel V. Johannesen
Q62424,Tinkoff (cycling team)
Q735624,FC Hoverla Uzhhorod
Q3037053,Hilton Athens
Q529446,Shirley Franklin
Q973121,Paul George
Q18640184,Svitlana Zalishchuk
Q97466141,Marta Tufet
Q98647906,Filippo Giovagnoli
Q847623,Spain women's national football team
Q260200,Sumgayit FK
Q2056290,Alessandro Donati
Q4895470,Gabriel Salazar
Q3069485,Fernando Haddad
Q1102044,Paola Binetti
Q3169400,Jean-Pierre Heynderickx
Q6779013,Mary Barra
Q1630297,National Rally of Independents
Q1932603,Miguel Díaz-Canel
Q470903,Sher Bahadur Deuba
Q75684,S.C. Braga
Q1430324,Arkady Dvorkovich
Q3419877,Rassemblement bleu Marine
Q6508511,Leader of Fine Gael
Q1054345,Cardinal Secretary of State
Q45900,Fabio Quagliarella
Q2379296,Sharon Gesthuizen
Q1543884,Saint Louis Athletica
Q15433743,Laura Na Liu
Q57303439,Dawn Hadley
Q485593,Red Hat
Q842909,Rice University
Q3379654,Philippe Couillard
Q63378324,Moon Seong-hyeok
Q558689,"Míchel (footballer, born 1963)"
Q194565,Welt am Sonntag
Q39052782,Résistons
Q780745,"Worcester College, Oxford"
Q4877438,Beauden Barrett
Q1161813,President of the United Nations General Assembly
Q23762310,Killian Tillie
Q52292915,Servant of the People
Q1264923,Mayor of Belgrade
Q90996795,Megan Walker
Q165141,Switzerland national football team
Q1239590,Don Young
Q51675998,China Media Group
Q8003541,Willem B. Drees
Q7660866,Sylvi Listhaug
Q2199011,Minister of Internal Affairs (Serbia)
Q7176933,Peter Siddle
Q11781526,"Secretary of State for Housing, Communities and Local Government"
Q203286,Kevin Johnson (basketball)
Q7702090,Teresa A. Sullivan
Q66459001,Alexandra Mitroshina
Q16194959,Alison Bashford
Q494162,National Assembly (South Korea)
Q242260,Persepolis F.C.
Q253586,Serbian Progressive Party
Q2156366,Peter den Oudsten
Q20855700,Popular Unity (Greece)
Q5284132,Divine Savior Holy Angels High School
Q6463518,La Lumiere School
Q22095802,Oregon Ducks women's basketball
Q487292,Allianz
Q1236136,University of Bari
Q179334,Henrik Larsson
Q16901268,Saumitra Khan
Q12720660,Andrei Chiliman
Q86715481,Nuno Gomes Nabiam
Q495299,Galatasaray S.K. (football)
Q1357417,Massimo Podenzana
Q2844522,Amundi
Q419974,Boston Breakers
Q313297,Jim Yong Kim
Q3104287,University of Regina
Q26209331,Michaela Pejzlová
Q247693,Paul Scharner
Q182508,Space Shuttle Endeavour
Q1237899,Dominik Thalhammer
Q7943762,Vyachaslaw Hryharaw
Q442325,Bob Bradley
Q7163263,Penn State Milton S. Hershey Medical Center
Q56612740,People's Party of Canada
Q4818620,Attorney General for Northern Ireland
Q451791,Giorgia Meloni
Q28963216,Church Estates Commissioners
Q43273047,Rudolf Uher
Q439777,Fred Rutten
Q298190,Robert Prosinečki
Q1524,Athens
Q4928982,Blue Coat Systems
Q534727,David Lammy
Q76837,Daniel Cohn-Bendit
Q3506979,Sylvain Didot
Q897000,Bradley Beal
Q18729,Reading F.C.
Q62403,Thomas Brdarić
Q1925,Yann M'Vila
Q6552712,Lindsay Goldberg
Q131478,Der Spiegel
Q508711,Didier Deschamps
Q999763,Paris 1 Panthéon-Sorbonne University
Q178180,Orduspor
Q5051216,Catalan Institution for Research and Advanced Studies
Q29964476,Brock Long
Q908666,Port Authority of New York and New Jersey
Q15994420,Edith Heard
Q693297,Kabuscorp S.C.P.
Q846173,New York University School of Law
Q25597826,Sadyr Japarov
Q1205,Thuringia
Q2532848,Hristo Yanev
Q4480746,MSU Faculty of Journalism
Q819694,Maccabi Tel Aviv B.C.
Q567934,Sorin Apostu
Q3291971,Marie-Josèphe Jude
Q29098326,Office of American Innovation
Q7891290,United States Senate Democratic Conference Secretary
Q1892745,Salvator Mundi (Leonardo)
Q2042657,Valery Strypeykis
Q132783,Hermitage Museum
Q1346565,Greek Catholic Eparchy of Mukachevo
Q220538,Zoran Mamić
Q5220721,Daniel Parslow
Q1972721,Luleå University of Technology
Q859363,Sciences Po
Q30239185,Sylvain Maillard
Q48879,Bradford City A.F.C.
Q2747647,Secretary of State for Defence
Q4801269,Artistic director (music)
Q41657764,Andrey Travnikov
Q501758,University of Florida
Q92650,Paul Graham (programmer)
Q6755887,Marc Spautz
Q353086,Temur Ketsbaia
Q738033,Mario Manzoni
Q16301686,Luzmila Nicolalde
Q30015089,Stephanie Grisham
Q193178,The Greens (Austria)
Q5400,Perm Krai
Q6384971,Keith Rowley
Q7170853,Perth Glory FC (W-League)
Q4867807,Basnahira cricket team
Q974705,New York Liberty
Q2399059,Olivier Dall'Oglio
Q201373,Nikola Žigić
Q920403,Micheál Martin
Q218372,Stade Brestois 29
Q1559990,People's Freedom Party (Russia)
Q200941,António Vitorino
Q465449,Miramax
Q7921734,Vermont Law and Graduate School
Q3112627,Queensland Government
Q3077700,Kanal 11 (Swedish TV channel)
Q117959,Rémy Pagani
Q184612,Robbie Keane
Q3589535,Veranclassic–Ago
Q1466498,National Institute of Water and Atmospheric Research
Q50042910,James Briscoe
Q18295,Ilkeston F.C.
Q447031,Ricardo Sá Pinto
Q1384206,Michel Wolter
Q1687342,Jens Rasiejewski
Q51997376,Luis Barcala
Q223620,Deportivo Alavés
Q18521,Macclesfield Town F.C.
Q48953,Wycombe Wanderers F.C.
Q2471950,Serhiy Kovalets
Q100560206,Carly Bullock
Q10905,Eniola Aluko
Q584629,FC U Craiova 1948
Q1045675,Carsten Sieling
Q16243716,Bengaluru FC
Q2740012,Stefan Löfven
Q7525454,"North High School (Sioux City, Iowa)"
Q1227894,Dirk Hilbert
Q40030,Rio Grande do Sul
Q295637,Victor Moses
Q41185,Caen
Q193706,David Luiz
Q34216,Mossad
Q4968921,Bristol Herald Courier
Q192775,University of Glasgow
Q57613,Ahmed Ouyahia
Q17305692,Brielle Biermann
Q40006,Hanyang University
Q10358279,Sustainability Network
Q1398473,Mario De Clercq
Q41267,Soraya Sáenz de Santamaría
Q487119,"Compton, California"
Q56742757,Katherine Joy
Q750061,Phillip Lee (politician)
Q27917049,Adama Barrow
Q835630,State councillor
Q466868,Lodewijk Asscher
Q27961997,Shadow Secretary of State for International Trade
Q58201,Audronius Ažubalis
Q1448449,Valter Bonacina
Q444318,Okan Buruk
Q304251,Tim Farron
Q704022,Gustavo Petro
Q6547482,Lila Meesseman-Bakir
Q621737,Académie Goncourt
Q740308,UNICEF
Q946,Donald Tusk
Q63715544,Jannayak Janta Party
Q4327139,Knoxville Symphony Orchestra
Q1207,North Dakota
Q1521597,Gheorghe Mulțescu
Q88965331,Moncef Slaoui
Q9160599,Artur Domosławski
Q2217087,Samet Aybaba
Q131454,Library of Congress
Q543260,Giuseppe Bertello
Q16838593,Edgeworth FC
Q1476937,Liberal Party (Philippines)
Q1075339,Ohio University
Q21062333,Gregory Fu
Q494800,Pak Pong-ju
Q930291,Willamette University
Q123517,Elke Twesten
Q1064490,Olli Huttunen
Q6828737,Michael Bostwick
Q3251800,Minister of Health (Canada)
Q4751258,Anand Lal Shimpi
Q379709,Muttiah Muralitharan
Q1926260,Mexico national under-23 football team
Q5201737,Czech Aeroholding
Q3351354,Olivier Sadran
Q555275,Walter Pérez (cyclist)
Q540672,Auburn University
Q210530,NK Maribor
Q483846,Gonzalo Higuaín
Q17541912,Charles Leclerc
Q7182789,Philadelphia Police Department
Q32024,Sergei Shoigu
Q41714902,B&B Hotels–KTM
Q1054799,President of Poland
Q20067481,Ihor Kyzym
Q161044,José Holebas
Q482449,Suwon Samsung Bluewings
Q11015795,Verónika Mendoza
Q83681308,Rhyne Howard
Q311353,Charlie Adam
Q783943,European Commissioner for Justice
Q1414861,University of Exeter
Q180865,University of Toronto
Q902171,Lundbeck
Q16635,Guam
Q5208424,Dag Mejdell
Q3511735,Dušan Kerkez
Q5533013,Geneva Community High School
Q952554,LA Weekly
Q21621995,Kylian Mbappé
Q3917541,FC Rudensk
Q2162427,Sector 1 (Bucharest)
Q3391928,Palencia Baloncesto
Q171224,"Eugene, Oregon"
Q867876,Greenock Morton F.C.
Q1558439,Bishop of Gloucester
Q2119610,Sylvana Simons
Q84581,Malu Dreyer
Q16146870,Steve Bannon
Q51979542,Galit Shmueli
Q499029,Social Democratic Party of Finland
Q11393870,List of Ministers for Home Affairs (Singapore)
Q739216,Trond Sollied
Q4931391,Board of County Commissioners (New Jersey)
Q849418,General Secretary of the Chinese Communist Party
Q331589,Valletta F.C.
Q621259,S.C. Olhanense
Q3785077,Taavi Rõivas
Q2036160,Thomas Meunier
Q223429,University of Birmingham
Q5181355,"Craig Reid (footballer, born 1985)"
Q101410,François Fillon
Q193651,Hampden Park
Q2531438,"Luis García (footballer, born 1972)"
Q272938,Siv Jensen
Q1195543,TVB
Q1904921,Martin Scherb
Q992046,Unity (Latvia)
Q7613060,Steve Knight (politician)
Q57615,Pedro Passos Coelho
Q3358782,Barbro Holmberg
Q2320385,St. Lucie Mets
Q1587677,Prime Minister of France
Q1225156,Minister of Defence (Norway)
Q90599,Reinhard Wilhelm
Q27975449,Charles Abel
Q5931440,Joan Josep Nuet
Q2801605,Berkman Klein Center for Internet & Society
Q6756600,Marcelo Miranda (politician)
Q24248302,Tony Xia
Q117996,Al-Shorta SC
Q1195270,Prime Minister of Croatia
Q14915624,Claire Underwood
Q1442482,People First Party (Taiwan)
Q1210598,Didier Tholot
Q11942,ETH Zurich
Q18720081,Anna Keay
Q107051,Andrea Barzagli
Q796897,Prime Minister of Italy
Q10514,Fernando Alonso
Q41550,OECD
Q37618308,Sharon Lewin
Q1475269,Wisła Płock
Q3303456,Leader of the Conservative Party (UK)
Q1155636,Ken Levine (game developer)
Q7681396,Tamil Union Cricket and Athletic Club
Q2468293,Mykola Pavlov
Q1379293,Eva Lang (economist)
Q196219,Henrikh Mkhitaryan
Q43,Turkey
Q3305338,Member of the National Assembly (Quebec)
Q1060462,Antonio De Poli
Q38057897,Thomas Waitz
Q11871234,Kevitsa mine
Q7456791,Seton Hall University School of Law
Q6211254,Joe McHugh
Q932120,Cyrille Guimard
Q7176020,Peter Mutharika
Q810786,Bath Rugby
Q48892,Didier Drogba
Q27920084,Lee Hyun-joo (actress)
Q57433374,Dolly Jørgensen
Q473034,James F. Amos
Q98961582,Scotty Walden
Q29671,University of Aveiro
Q4512,VfB Stuttgart
Q486633,"Fulton County, Georgia"
Q19616,RAI
Q359888,Tim Kaine
Q3608159,Alberto Bombassei
Q3049104,Efrén Navarro
Q2049205,Cristóbal Parralo
Q52753686,Stewart Donald
Q1576026,National Alliance (Latvia)
Q634701,POFC Botev Vratsa
Q1055,Hamburg
Q1553390,United States Department of Justice
Q1344856,Place Ville Marie
Q625365,Speaker of the National Assembly (South Korea)
Q1753819,Verein für Socialpolitik
Q7241368,President of the Senate of Romania
Q239411,Ivanka Trump
Q7130394,Pancracio Celdrán
Q492419,FCR 2001 Duisburg
Q6659788,Liviu Dragnea
Q312518,Karim Matmour
Q18397039,SEG Racing Academy
Q132280,Seiji Maehara
Q7570022,Southern Illinois Salukis men's basketball
Q391151,Football Federation of Armenia
Q204238,England national under-21 football team
Q6006648,Matías Lammens
Q5330605,Long Buckby A.F.C.
Q1179599,DePauw University
Q4723552,Alfred Oko Vanderpuije
Q22337925,Míriam Nogueras
Q5120215,Cincinnati Bearcats men's basketball
Q983116,Robert Wexler
Q28004247,Centrists for Europe
Q157642,Vladimir Arnold
Q388338,Treasurer
Q32592613,Christian Ilzer
Q16080415,Kim Chong-in
Q3560647,Europe 2
Q1275301,ENAV
Q884858,Bloemfontein Celtic F.C.
Q30184731,Marek Výborný
Q25103599,Myanmar Dental Association
Q186785,Rosenborg BK
Q770037,Pierre Bergé
Q137669,Ajinkya Rahane
Q630916,Wouter Vrancken
Q175426,Réginal Goreux
Q177703,Stavne–Leangen line
Q16914041,Manuel García Corpus
Q69029,Wolfgang Gerhardt
Q16155633,Virginia Cavaliers football
